provincia_nombre,tipo_norma,numero_norma,estado_vigencia,fecha,fecha_publicacion,nombre_norma,titulo_resumido,titulo_sumario,texto_actualizado
Formosa,Ley,1009,"Vigente, de alcance general",1992-08-06,1992-09-01,LEY 1.009,Código de procedimiento del Tribunal de Familia,DERECHO PROCESAL-COMPETENCIA DE FAMILIA-TRIBUNALES DE FAMILIA,www.saij.gob.ar/LPP0001009
Formosa,Ley,1095,"Vigente, de alcance general",1994-06-02,1994-10-20,LEY 1.095,Establece mecanismos y requisitos para enjuiciamiento de los magistrados y funcionarios judiciales,ENJUICIAMIENTO DE MAGISTRADOS-JUICIO POLITICO-DERECHO CONSTITUCIONAL,www.saij.gob.ar/LPP0001095
Formosa,Ley,1160,"Vigente, de alcance general",1995-10-26,1995-12-20,LEY 1.160,Ley de protección contra la violencia familiar,DERECHOS HUMANOS-VIOLENCIA FAMILIAR-PROTECCION DEL MENOR Y LA FAMILIA,www.saij.gob.ar/LPP0001160
Formosa,Ley,1216,"Vigente, de alcance general",1996-11-07,1996-12-10,LEY 1.216,Carta Orgánica del Tribunal de Cuentas de Formosa.,TRIBUNAL DE CUENTAS-MIEMBROS DEL TRIBUNAL DE CUENTAS-APROBACION DEL TRIBUNAL DE CUENTAS,www.saij.gob.ar/LPP0001216
Formosa,Ley,1246,"Vigente, de alcance general",1997-09-04,1997-11-12,LEY 1246,Código de Aguas de Formosa.,CODIGO DE AGUAS-RECURSOS HIDRICOS-CODIGO DE AGUAS DE FORMOSA-DISPOSICIONES GENERALES-USO DEL AGUA PUBLICA-USO PARTICULAR DEL AGUA- RIEGO,www.saij.gob.ar/LPP0001246
Formosa,Ley,1314,"Vigente, de alcance general",2000-06-08,2000-07-26,LEY 1314,Código Rural de Formosa.,CODIGO RURAL DE FORMOSA-TRABAJADORES AGRARIOS-CONTRATOS AGRARIOS-INMUEBLES RURALES-COLONIZACION-EMPRESA AGRARIA,www.saij.gob.ar/LPP0001314
Formosa,Ley,1335,"Vigente, de alcance general",2000-10-12,2000-10-12,LEY 1.335,"Creación del Sistema Provincial de Reservas de Biosfera y crea dos reservas de biosferas piloto, una rural Riacho Teuquito y otra urbana Laguna Oca del río Paraguay",n/d,www.saij.gob.ar/LPP0001335
Formosa,Ley,1373,"Vigente, de alcance general",2002-05-30,2002-06-03,LEY 1373,Procedimiento de modalización del cumplimiento de la sentencia en los procesos de ejecución forzada de bienes.,DERECHO PROCESAL-SUBASTA DE BIENES-REMATE-EJECUCION FORZADA-MODALIZACION DEL CUMPLIMIENTO DE LA SENTENCIA,www.saij.gob.ar/LPP0001373
Formosa,Ley,1396,"Individual, Solo Modificatoria o Sin Eficacia",2002-10-10,2002-11-14,LEY 1396,Modificación al Código rural de Formosa -Ley 1314- y ley sobre creación de delegaciones y comisionados del Registro Civil -ley 128-.,"SOLO MODIFICATORIA-MODIFICA ARTS. 226, 227 Y 229 DE LA LEY 1314 (B.O. 26-07-2000) SOBRE CODIGO RURAL-DERECHO PROCESAL-MODIFICA ART. 1 DE LEY 128 (B.O. 31-08-60) SOBRE CREACIÓN DE DELEGACIONES Y COMISIONADOS ESPECIALES DE REGISTRO CIVIL",www.saij.gob.ar/LPP0001396
Formosa,Ley,1397,"Vigente, de alcance general",2002-10-17,2002-11-14,LEY 1397,Modificación al Código Procesal Civil y Comercial de Formosa.,DERECHO PROCESAL-CODIGO PROCESAL CIVIL Y COMERCIAL DE FORMOSA- ADHESIÓN PROVINCIAL-LEY NACIONAL,www.saij.gob.ar/LPP0001397
